gene_name,SM0909_LR-L,SM0909_LR-R,SM1913_L-L,SM1914_R-R,SM0907_L-R,SM0908_R-L,SM0908_R-R,SM2026_L-L,SM2027_LR-L
Gpr171,-2.050593703,-1.713244887,-1.562190339,-1.676411529,1.190092322,1.589095905,1.682863014,1.460262902,1.080126316
Cadm1,-2.342648957,-2.215527135,-3.467115273,-3.064101619,1.538197911,2.10362673,2.413892337,2.463523542,2.570152463
Grap2,-1.638427252,-2.870268116,-2.865301553,-2.382152752,1.464238607,1.938733349,2.066566586,2.174041115,2.112570017
Kcnj10,-2.233402417,-1.996563655,-2.552552314,-1.754046103,1.184891937,2.059911041,1.883602985,1.549777562,1.858380965
Col14a1,-1.622108366,-2.130306421,-2.112808061,-1.749485513,1.839957634,1.860620749,1.981121784,1.061280074,0.871728119
Ccnd2,-1.706994092,-1.071399793,-0.999741391,-1.086352218,0.937913081,1.0239926,1.127629714,1.026235523,0.748716576
Ctnnd2,-2.585016625,-2.208004369,-1.508228467,-2.556156686,2.164885768,1.845368333,1.94609935,1.777628266,1.12342443
Spon1,-1.126688845,-1.315547663,-0.65965324,-1.356354757,0.937020853,0.800034658,0.811592816,0.802070656,1.107525522
Inpp4b,-1.184408646,-1.767355314,-1.534772455,-0.767877838,1.095377758,1.004367388,0.928046333,1.176043977,1.050578797
Cd72,-1.276520429,-0.676267124,-1.137191331,-1.049473304,0.498573742,0.884958162,0.801390499,0.917064103,1.037465682
Tnfsf13b,-2.656760317,-1.588961672,-1.820726237,-1.380146182,0.729972751,1.417280852,1.584927143,1.63814531,2.076268351
Il12rb1,-2.109286617,-1.400447573,-1.690326242,-1.675613128,0.328579957,1.33328303,1.581073667,1.75339534,1.879341565
Hpgds,-0.798440836,-1.30762601,-1.127762756,-0.676315001,0.750861278,0.65156603,0.548622941,0.991100566,0.967993788
Il2ra,-2.112092952,-0.92980677,-1.6387278,-1.584565553,0.496094421,1.259710671,1.485334174,1.29822833,1.72582548
Zmynd15,-1.765133125,-0.990070351,-1.57846714,-0.666018234,0.634621762,1.13470254,1.028691773,1.063892929,1.137779845
Abcg3,-0.810560054,-1.056011663,-0.936261102,-0.658771569,0.747962293,0.333179004,0.582016255,0.924758152,0.873688683
Rnf157,-0.554669423,-0.76337142,-0.479808013,-0.594955136,0.473886564,0.566246336,0.533990991,0.32787066,0.490809441
Knl1,-1.045583636,-0.98704906,-1.513396551,-0.498654218,0.711960579,0.852662765,0.905814739,0.911790615,0.662454767
Ncapd2,-0.785647882,-0.696345185,-1.095746761,-0.698649552,0.872120378,0.754872544,0.881642021,0.457359679,0.310394757
Kif23,-0.545419886,-1.020430094,-1.482337048,-0.719005517,0.845619134,0.825360134,0.751288617,0.636727874,0.708196787
Abcb1b,-0.912438259,-0.748502382,-0.516288854,-0.898786833,0.383052777,0.488144485,0.569009025,0.749391356,0.886418685
Iigp1,-0.895808531,-1.195326618,-1.390051451,-0.815333069,0.278426783,0.792600567,0.70418657,1.226846261,1.294459488
Lmnb1,-0.468464766,-0.410763695,-0.551172824,-0.538856542,0.274781165,0.325009306,0.429371329,0.340862083,0.599233944
Card11,-1.470340381,-2.273903373,-1.867031698,-1.341136015,0.411719265,1.130765844,0.95712218,1.976458114,2.476346064
2900026A02Rik,-1.25757327,-0.952403012,-1.147264292,-0.580444274,0.974063523,0.773045378,1.21041031,0.578616607,0.40154903
Neurl1b,-1.212065315,-0.804821412,-1.09460007,-0.624939455,0.732667033,0.954305296,1.000153494,0.515405587,0.533894841
Gbp8,-1.758145085,-1.431175561,-1.710815151,-0.899743213,0.444878528,0.968311512,0.773528601,1.825330102,1.787830266
Gna12,-0.622910318,-0.611353151,-0.310509638,-0.449956327,0.485261601,0.418843402,0.42944319,0.283967812,0.377213429
Myh10,-1.43886748,-2.114077781,-1.393215667,-1.866803159,0.324884728,1.012889858,0.958658731,2.187986382,2.328544387
Slamf9,-1.320041999,-0.361144434,-1.332106368,-1.121330061,0.738822404,0.954827025,0.986300083,0.601411253,0.853262097
Tedc1,-0.808282122,-0.531373329,-0.903022599,-0.776818302,0.638812917,0.68585441,0.61990938,0.325819141,0.749100505
Ccnd1,-0.839911828,-0.613849987,-1.007744599,-0.338378939,0.434045263,0.526126249,0.605973443,0.572484101,0.661256298
Vcam1,-1.585302127,-2.120628043,-1.80393336,-1.340525822,1.855482479,2.257581846,2.214341275,0.227470687,0.295513064
Ddx11,-0.527751975,-0.666680888,-0.816447638,-0.619497212,0.529109826,0.738180492,0.573834205,0.387671079,0.401582112
